source,value,target,town
Total Spending,3653252,Fire,Bellingham
Total Spending,556842,Other Public Safety,Bellingham
Total Spending,34046940,Education,Bellingham
Total Spending,2328184,Public Works,Bellingham
Total Spending,585430,Human Services,Bellingham
Total Spending,874199,Culture and Recreation,Bellingham
Total Spending,4086297,Fixed Costs,Bellingham
Total Spending,4285029,Intergovernmental Assessments,Bellingham
Total Spending,0,Other Expenditures,Bellingham
Total Spending,3770223,Debt Service,Bellingham
Residential Levy,110891375.63,Tax Levy,Belmont
Open Space Levy,0,Tax Levy,Belmont
Commercial Levy,4153642.51,Tax Levy,Belmont
Industrial Levy,318468.54,Tax Levy,Belmont
Personal Prop Levy,1142335.47,Tax Levy,Belmont
Tax Levy,116505822.15,Total Revenue,Belmont
State Aid,12910612,Total Revenue,Belmont
Local Receipts,8640888.85,Total Revenue,Belmont
Enterprise & CPA Funds,22887063,Total Revenue,Belmont
Other Revenue,8875082,Total Revenue,Belmont
Total Revenue,125200921,Total Spending,Belmont
Total Revenue,44618547,Budget Surplus,Belmont
Budget Defecit,0,Total Spending,Belmont
Total Spending,10549064,General Government,Belmont
Total Spending,8057827,Police,Belmont
Total Spending,5879263,Fire,Belmont
Total Spending,562708,Other Public Safety,Belmont
Total Spending,59109676,Education,Belmont
Total Spending,6624325,Public Works,Belmont
Total Spending,939682,Human Services,Belmont
Total Spending,4116773,Culture and Recreation,Belmont
Total Spending,12009107,Fixed Costs,Belmont
Total Spending,2165273,Intergovernmental Assessments,Belmont
Total Spending,16721,Other Expenditures,Belmont
Total Spending,15170502,Debt Service,Belmont
Residential Levy,14157775.47,Tax Levy,Berkley
Open Space Levy,0,Tax Levy,Berkley
Commercial Levy,290080.79,Tax Levy,Berkley
Industrial Levy,67322.2,Tax Levy,Berkley
Personal Prop Levy,333586.04,Tax Levy,Berkley
Tax Levy,14848764.5,Total Revenue,Berkley
State Aid,5578578,Total Revenue,Berkley
Local Receipts,1342720,Total Revenue,Berkley
Enterprise & CPA Funds,0,Total Revenue,Berkley
Other Revenue,4323690,Total Revenue,Berkley
Total Revenue,21612036,Total Spending,Berkley
Total Revenue,4481716.5,Budget Surplus,Berkley
Budget Defecit,0,Total Spending,Berkley
Total Spending,775185,General Government,Berkley
Total Spending,1545700,Police,Berkley
Total Spending,246865,Fire,Berkley
Total Spending,1134846,Other Public Safety,Berkley
Total Spending,14681110,Education,Berkley
Total Spending,920944,Public Works,Berkley
Total Spending,68343,Human Services,Berkley
Total Spending,155803,Culture and Recreation,Berkley
Total Spending,1475866,Fixed Costs,Berkley
Total Spending,219549,Intergovernmental Assessments,Berkley
Total Spending,136921,Other Expenditures,Berkley
Total Spending,250904,Debt Service,Berkley
Residential Levy,9572463.61,Tax Levy,Berlin
Open Space Levy,29708.43,Tax Levy,Berlin
Commercial Levy,2761414.21,Tax Levy,Berlin
Industrial Levy,297317.63,Tax Levy,Berlin
Personal Prop Levy,497396.17,Tax Levy,Berlin
Tax Levy,13158300.05,Total Revenue,Berlin
State Aid,261475,Total Revenue,Berlin
Local Receipts,1320975,Total Revenue,Berlin
Enterprise & CPA Funds,1915044.51,Total Revenue,Berlin
Other Revenue,2487186.64,Total Revenue,Berlin
Total Revenue,14352648,Total Spending,Berlin
Total Revenue,4790333.199999999,Budget Surplus,Berlin
Budget Defecit,0,Total Spending,Berlin
Total Spending,1363811,General Government,Berlin
Total Spending,1180706,Police,Berlin
Total Spending,838163,Fire,Berlin
Total Spending,406055,Other Public Safety,Berlin
Total Spending,7742100,Education,Berlin
Total Spending,798952,Public Works,Berlin
Total Spending,111942,Human Services,Berlin
Total Spending,179502,Culture and Recreation,Berlin
Total Spending,1339724,Fixed Costs,Berlin
Total Spending,43683,Intergovernmental Assessments,Berlin
Total Spending,49235,Other Expenditures,Berlin
Total Spending,298775,Debt Service,Berlin
Residential Levy,4277038.7,Tax Levy,Bernardston
Open Space Levy,0,Tax Levy,Bernardston
Commercial Levy,319735.83,Tax Levy,Bernardston
Industrial Levy,180543.35,Tax Levy,Bernardston
Personal Prop Levy,128389.8,Tax Levy,Bernardston
Tax Levy,4905707.68,Total Revenue,Bernardston
State Aid,399213,Total Revenue,Bernardston
Local Receipts,361500,Total Revenue,Bernardston
Enterprise & CPA Funds,0,Total Revenue,Bernardston
Other Revenue,506205.05,Total Revenue,Bernardston
Total Revenue,5670217,Total Spending,Bernardston
Total Revenue,502408.7299999995,Budget Surplus,Bernardston
Budget Defecit,0,Total Spending,Bernardston
Total Spending,366293,General Government,Bernardston
Total Spending,316210,Police,Bernardston
Total Spending,262501,Fire,Bernardston
Total Spending,35980,Other Public Safety,Bernardston
Total Spending,3412623,Education,Bernardston
Total Spending,605602,Public Works,Bernardston
Total Spending,100751,Human Services,Bernardston
Total Spending,82098,Culture and Recreation,Bernardston
Total Spending,274287,Fixed Costs,Bernardston
Total Spending,91936,Intergovernmental Assessments,Bernardston
Total Spending,57936,Other Expenditures,Bernardston
Total Spending,64000,Debt Service,Bernardston
Residential Levy,93235522.7,Tax Levy,Beverly
Open Space Levy,9466,Tax Levy,Beverly
Commercial Levy,16049522.6,Tax Levy,Beverly
Industrial Levy,4616157.01,Tax Levy,Beverly
Personal Prop Levy,5507224.43,Tax Levy,Beverly
Tax Levy,119417892.74,Total Revenue,Beverly
State Aid,21212189,Total Revenue,Beverly
Local Receipts,10301283,Total Revenue,Beverly
Enterprise & CPA Funds,21240235.4,Total Revenue,Beverly
Other Revenue,7687783,Total Revenue,Beverly
Total Revenue,135066125,Total Spending,Beverly
Total Revenue,44793258.140000015,Budget Surplus,Beverly
Budget Defecit,0,Total Spending,Beverly
Total Spending,7197776,General Government,Beverly
Total Spending,9942909,Police,Beverly
Total Spending,8364246,Fire,Beverly
Total Spending,1306034,Other Public Safety,Beverly
Total Spending,73744931,Education,Beverly
Total Spending,5148332,Public Works,Beverly
Total Spending,1750528,Human Services,Beverly
Total Spending,3859438,Culture and Recreation,Beverly
Total Spending,13402512,Fixed Costs,Beverly
Total Spending,2095100,Intergovernmental Assessments,Beverly
Total Spending,0,Other Expenditures,Beverly
Total Spending,8254319,Debt Service,Beverly
Residential Levy,88509920.69,Tax Levy,Billerica
Open Space Levy,0,Tax Levy,Billerica
Commercial Levy,12052294.81,Tax Levy,Billerica
Industrial Levy,34335922.9,Tax Levy,Billerica
Personal Prop Levy,10105217.21,Tax Levy,Billerica
Tax Levy,145003355.61,Total Revenue,Billerica
State Aid,27585698,Total Revenue,Billerica
Local Receipts,13440000,Total Revenue,Billerica
Enterprise & CPA Funds,19128055,Total Revenue,Billerica
Other Revenue,8963478,Total Revenue,Billerica
Total Revenue,162020192,Total Spending,Billerica
Total Revenue,52100394.610000014,Budget Surplus,Billerica
Budget Defecit,0,Total Spending,Billerica
Total Spending,7960456,General Government,Billerica
Total Spending,9074056,Police,Billerica
Total Spending,9294810,Fire,Billerica
Total Spending,3049938,Other Public Safety,Billerica
Total Spending,83420151,Education,Billerica
Total Spending,10987049,Public Works,Billerica
Total Spending,1239348,Human Services,Billerica
Total Spending,3076175,Culture and Recreation,Billerica
Total Spending,20316755,Fixed Costs,Billerica
Total Spending,5673033,Intergovernmental Assessments,Billerica
Total Spending,0,Other Expenditures,Billerica
Total Spending,7928421,Debt Service,Billerica
Residential Levy,17433158.3,Tax Levy,Blackstone
Open Space Levy,0,Tax Levy,Blackstone
Commercial Levy,482615.92,Tax Levy,Blackstone
Industrial Levy,548837.31,Tax Levy,Blackstone
Personal Prop Levy,3187747.45,Tax Levy,Blackstone
Tax Levy,21652358.98,Total Revenue,Blackstone
State Aid,2049398,Total Revenue,Blackstone
Local Receipts,2031500,Total Revenue,Blackstone
Enterprise & CPA Funds,2782553,Total Revenue,Blackstone
Other Revenue,3568607,Total Revenue,Blackstone
Total Revenue,25283844,Total Spending,Blackstone
Total Revenue,6800572.98,Budget Surplus,Blackstone
Budget Defecit,0,Total Spending,Blackstone
Total Spending,2466625,General Government,Blackstone
Total Spending,2011233,Police,Blackstone
Total Spending,1389273,Fire,Blackstone
Total Spending,544188,Other Public Safety,Blackstone
Total Spending,12195946,Education,Blackstone
Total Spending,2545796,Public Works,Blackstone
Total Spending,474868,Human Services,Blackstone
Total Spending,752416,Culture and Recreation,Blackstone
Total Spending,1985307,Fixed Costs,Blackstone
Total Spending,49569,Intergovernmental Assessments,Blackstone
Total Spending,9127,Other Expenditures,Blackstone
Total Spending,859496,Debt Service,Blackstone
Residential Levy,2519051.39,Tax Levy,Blandford
Open Space Levy,0,Tax Levy,Blandford
Commercial Levy,114610.42,Tax Levy,Blandford
Industrial Levy,58412.89,Tax Levy,Blandford
Personal Prop Levy,875329.32,Tax Levy,Blandford
Tax Levy,3567404.02,Total Revenue,Blandford
State Aid,235245,Total Revenue,Blandford
Local Receipts,622270,Total Revenue,Blandford
Enterprise & CPA Funds,964848.56,Total Revenue,Blandford
Other Revenue,587211.68,Total Revenue,Blandford
Total Revenue,4318741,Total Spending,Blandford
Total Revenue,1658238.2599999998,Budget Surplus,Blandford
Budget Defecit,0,Total Spending,Blandford
Total Spending,823577,General Government,Blandford
Total Spending,100409,Police,Blandford
Total Spending,89946,Fire,Blandford
Total Spending,67790,Other Public Safety,Blandford
Total Spending,1704999,Education,Blandford
Total Spending,808392,Public Works,Blandford
Total Spending,108812,Human Services,Blandford
Total Spending,96193,Culture and Recreation,Blandford
Total Spending,270288,Fixed Costs,Blandford
Total Spending,14862,Intergovernmental Assessments,Blandford
Total Spending,0,Other Expenditures,Blandford
Total Spending,233473,Debt Service,Blandford
Residential Levy,23896313.4,Tax Levy,Bolton
Open Space Levy,0,Tax Levy,Bolton
Commercial Levy,718323.85,Tax Levy,Bolton
Industrial Levy,207464.25,Tax Levy,Bolton
Personal Prop Levy,419563.9,Tax Levy,Bolton
Tax Levy,25241665.4,Total Revenue,Bolton
State Aid,310146,Total Revenue,Bolton
Local Receipts,1591042,Total Revenue,Bolton
Enterprise & CPA Funds,0,Total Revenue,Bolton
Other Revenue,725255.52,Total Revenue,Bolton
Total Revenue,27151835,Total Spending,Bolton
Total Revenue,716273.9199999981,Budget Surplus,Bolton
Budget Defecit,0,Total Spending,Bolton
Total Spending,1471751,General Government,Bolton
Total Spending,1569301,Police,Bolton
Total Spending,570329,Fire,Bolton
Total Spending,580782,Other Public Safety,Bolton
Total Spending,17883645,Education,Bolton
Total Spending,1722857,Public Works,Bolton
Total Spending,199542,Human Services,Bolton
Total Spending,566649,Culture and Recreation,Bolton
Total Spending,1513164,Fixed Costs,Bolton
Total Spending,72782,Intergovernmental Assessments,Bolton
Total Spending,0,Other Expenditures,Bolton
Total Spending,1001033,Debt Service,Bolton
Residential Levy,1248863019.06,Tax Levy,Boston
Open Space Levy,0,Tax Levy,Boston
Commercial Levy,1500027795.32,Tax Levy,Boston
Industrial Levy,35242509.4,Tax Levy,Boston
Personal Prop Levy,209010762.01,Tax Levy,Boston
Tax Levy,2993144085.79,Total Revenue,Boston
State Aid,513570204,Total Revenue,Boston
Local Receipts,460054354.04,Total Revenue,Boston
Enterprise & CPA Funds,40285280,Total Revenue,Boston
Other Revenue,73529500,Total Revenue,Boston
Total Revenue,3666978673,Total Spending,Boston
Total Revenue,413604750.8299999,Budget Surplus,Boston
Budget Defecit,0,Total Spending,Boston
Total Spending,219797664,General Government,Boston
Total Spending,419788643,Police,Boston
Total Spending,278864184,Fire,Boston
Total Spending,68086395,Other Public Safety,Boston
Total Spending,1281161733,Education,Boston
Total Spending,127977628,Public Works,Boston
Total Spending,179484006,Human Services,Boston
Total Spending,83514820,Culture and Recreation,Boston
Total Spending,455579657,Fixed Costs,Boston
Total Spending,352001318,Intergovernmental Assessments,Boston
Total Spending,0,Other Expenditures,Boston
Total Spending,200722625,Debt Service,Boston
Residential Levy,52025984.95,Tax Levy,Bourne
Open Space Levy,0,Tax Levy,Bourne
Commercial Levy,4136663.63,Tax Levy,Bourne
Industrial Levy,412323.24,Tax Levy,Bourne
Personal Prop Levy,2052897.39,Tax Levy,Bourne
Tax Levy,58627869.21,Total Revenue,Bourne
State Aid,9179905,Total Revenue,Bourne
Local Receipts,7518231.96,Total Revenue,Bourne
Enterprise & CPA Funds,20338953.77,Total Revenue,Bourne
Other Revenue,6822559.41,Total Revenue,Bourne
Total Revenue,71081117,Total Spending,Bourne
Total Revenue,31406402.349999994,Budget Surplus,Bourne
Budget Defecit,0,Total Spending,Bourne
Total Spending,4799192,General Government,Bourne
Total Spending,5424782,Police,Bourne
Total Spending,5084738,Fire,Bourne
Total Spending,1791756,Other Public Safety,Bourne
Total Spending,28499112,Education,Bourne
Total Spending,2937020,Public Works,Bourne
Total Spending,905352,Human Services,Bourne
Total Spending,947115,Culture and Recreation,Bourne
Total Spending,7664116,Fixed Costs,Bourne
Total Spending,4937029,Intergovernmental Assessments,Bourne
Total Spending,1706173,Other Expenditures,Bourne
Total Spending,6384732,Debt Service,Bourne
Residential Levy,18761229.16,Tax Levy,Boxborough
Open Space Levy,0,Tax Levy,Boxborough
Commercial Levy,1149115.17,Tax Levy,Boxborough
Industrial Levy,2248291.45,Tax Levy,Boxborough
Personal Prop Levy,742198.53,Tax Levy,Boxborough
Tax Levy,22900834.31,Total Revenue,Boxborough
State Aid,346673,Total Revenue,Boxborough
Local Receipts,1575000,Total Revenue,Boxborough
Enterprise & CPA Funds,712550,Total Revenue,Boxborough
Other Revenue,1230112.44,Total Revenue,Boxborough
Total Revenue,24525919,Total Spending,Boxborough
Total Revenue,2239250.75,Budget Surplus,Boxborough
Budget Defecit,0,Total Spending,Boxborough
Total Spending,1853801,General Government,Boxborough
Total Spending,1817582,Police,Boxborough
Total Spending,1317061,Fire,Boxborough
Total Spending,443547,Other Public Safety,Boxborough
Total Spending,13398094,Education,Boxborough
Total Spending,1187151,Public Works,Boxborough
Total Spending,187774,Human Services,Boxborough
Total Spending,685804,Culture and Recreation,Boxborough
Total Spending,2324714,Fixed Costs,Boxborough
Total Spending,0,Intergovernmental Assessments,Boxborough
Total Spending,0,Other Expenditures,Boxborough
Total Spending,1310391,Debt Service,Boxborough
Residential Levy,32036153.81,Tax Levy,Boxford
Open Space Levy,0,Tax Levy,Boxford
Commercial Levy,213875.1,Tax Levy,Boxford
Industrial Levy,29900.67,Tax Levy,Boxford
Personal Prop Levy,700302.53,Tax Levy,Boxford
Tax Levy,32980232.11,Total Revenue,Boxford
State Aid,2674841,Total Revenue,Boxford
Local Receipts,2683169,Total Revenue,Boxford
Enterprise & CPA Funds,1554913,Total Revenue,Boxford
Other Revenue,1433734,Total Revenue,Boxford
Total Revenue,38552221,Total Spending,Boxford
Total Revenue,2774668.1099999994,Budget Surplus,Boxford
Budget Defecit,0,Total Spending,Boxford
Total Spending,2102677,General Government,Boxford
Total Spending,1496931,Police,Boxford
Total Spending,810523,Fire,Boxford
Total Spending,947653,Other Public Safety,Boxford
Total Spending,25069444,Education,Boxford
Total Spending,2893816,Public Works,Boxford
Total Spending,419198,Human Services,Boxford
Total Spending,519735,Culture and Recreation,Boxford
Total Spending,2770825,Fixed Costs,Boxford
Total Spending,185386,Intergovernmental Assessments,Boxford
Total Spending,0,Other Expenditures,Boxford
Total Spending,1336033,Debt Service,Boxford
Residential Levy,13825393.56,Tax Levy,Boylston
Open Space Levy,0,Tax Levy,Boylston
Commercial Levy,1704210.91,Tax Levy,Boylston
Industrial Levy,764570.88,Tax Levy,Boylston
Personal Prop Levy,339202.8,Tax Levy,Boylston
Tax Levy,16633378.15,Total Revenue,Boylston
State Aid,521660,Total Revenue,Boylston
Local Receipts,2062099.64,Total Revenue,Boylston
Enterprise & CPA Funds,0,Total Revenue,Boylston
Other Revenue,708142.33,Total Revenue,Boylston
Total Revenue,19486309,Total Spending,Boylston
Total Revenue,438971.1199999973,Budget Surplus,Boylston
Budget Defecit,0,Total Spending,Boylston
Total Spending,1118978,General Government,Boylston
Total Spending,2034859,Police,Boylston
Total Spending,674901,Fire,Boylston
Total Spending,254034,Other Public Safety,Boylston
Total Spending,11239755,Education,Boylston
Total Spending,1533964,Public Works,Boylston
Total Spending,166135,Human Services,Boylston
Total Spending,335605,Culture and Recreation,Boylston
Total Spending,1697481,Fixed Costs,Boylston
Total Spending,54071,Intergovernmental Assessments,Boylston
Total Spending,1,Other Expenditures,Boylston
Total Spending,376525,Debt Service,Boylston
Residential Levy,69924270.38,Tax Levy,Braintree
Open Space Levy,0,Tax Levy,Braintree
Commercial Levy,29579498.81,Tax Levy,Braintree
Industrial Levy,6124357.97,Tax Levy,Braintree
Personal Prop Levy,2804414.95,Tax Levy,Braintree
Tax Levy,108432542.11,Total Revenue,Braintree
State Aid,26607807,Total Revenue,Braintree
Local Receipts,19127538.09,Total Revenue,Braintree
Enterprise & CPA Funds,26883921,Total Revenue,Braintree
Other Revenue,3040473,Total Revenue,Braintree
Total Revenue,146815014,Total Spending,Braintree
Total Revenue,37277267.20000002,Budget Surplus,Braintree
